tx_date,file_date,last_name,first_name,order_type,ticker,asset_name,tx_amount,link,tx_amount_num
2014-05-07,2014-05-16,Collins,Susan M,Purchase,WFC,Wells Fargo & Company (NYSE),"$15,001 - $50,000",https://efdsearch.senate.gov/search/view/ptr/a6280b04-b9a1-4df8-ab60-cdbe26b49d78/,15001.0
2014-05-07,2014-05-16,Collins,Susan M,Purchase,UNP,Union Pacific Corporation (NYSE),"$15,001 - $50,000",https://efdsearch.senate.gov/search/view/ptr/a6280b04-b9a1-4df8-ab60-cdbe26b49d78/,15001.0
2014-05-07,2014-05-16,Collins,Susan M,Purchase,SE,Spectra Energy Corp. (NYSE),"$15,001 - $50,000",https://efdsearch.senate.gov/search/view/ptr/a6280b04-b9a1-4df8-ab60-cdbe26b49d78/,15001.0
2014-05-07,2014-05-16,Collins,Susan M,Purchase,RHHBY,Roche Holding AG (OTC Markets),"$15,001 - $50,000",https://efdsearch.senate.gov/search/view/ptr/a6280b04-b9a1-4df8-ab60-cdbe26b49d78/,15001.0
2014-05-07,2014-05-16,Collins,Susan M,Purchase,QCOM,QUALCOMM Incorporated (NASDAQ),"$15,001 - $50,000",https://efdsearch.senate.gov/search/view/ptr/a6280b04-b9a1-4df8-ab60-cdbe26b49d78/,15001.0
2014-05-07,2014-05-16,Collins,Susan M,Purchase,PEP,"Pepsico, Inc. (NYSE)","$15,001 - $50,000",https://efdsearch.senate.gov/search/view/ptr/a6280b04-b9a1-4df8-ab60-cdbe26b49d78/,15001.0
2014-04-29,2014-05-15,Whitehouse,Sheldon,Sale (Partial),GIS,"General Mills, Inc. (NYSE)","$15,001 - $50,000",https://efdsearch.senate.gov/search/view/ptr/9b068596-e9ca-4b20-b738-19872aa03a6a/,15001.0
2014-04-17,2014-05-15,Whitehouse,Sheldon,Sale (Partial),DIS,The Walt Disney Company (NYSE),"$15,001 - $50,000",https://efdsearch.senate.gov/search/view/ptr/9b068596-e9ca-4b20-b738-19872aa03a6a/,15001.0
2014-04-29,2014-05-15,Whitehouse,Sheldon,Sale (Full),EBAY,eBay Inc. (NASDAQ),"$15,001 - $50,000",https://efdsearch.senate.gov/search/view/ptr/9b068596-e9ca-4b20-b738-19872aa03a6a/,15001.0
2014-04-29,2014-05-15,Whitehouse,Sheldon,Purchase,UTX,United Technologies Corp. (NYSE),"$15,001 - $50,000",https://efdsearch.senate.gov/search/view/ptr/9b068596-e9ca-4b20-b738-19872aa03a6a/,15001.0
2014-05-09,2014-05-15,Whitehouse,Sheldon,Sale (Full),XLNX,Xilinx Inc. (NASDAQ),"$15,001 - $50,000",https://efdsearch.senate.gov/search/view/ptr/9b068596-e9ca-4b20-b738-19872aa03a6a/,15001.0
2014-04-08,2014-05-09,Booker,Cory A,Sale (Full),AMT,American Tower Corporation (NYSE),"$15,001 - $50,000",https://efdsearch.senate.gov/search/view/ptr/29d797a6-e3ff-4d76-9ee9-2e3840adb15b/,15001.0
2014-04-08,2014-05-09,Booker,Cory A,Sale (Full),NFLX,"Netflix, Inc. (NASDAQ)","$15,001 - $50,000",https://efdsearch.senate.gov/search/view/ptr/29d797a6-e3ff-4d76-9ee9-2e3840adb15b/,15001.0
2014-04-28,2014-05-08,Hoeven,John,Purchase,BA,The Boeing Company (NYSE),"$100,001 - $250,000",https://efdsearch.senate.gov/search/view/ptr/da7d4e7e-8858-4dc1-ba7e-800c7ce82e7f/,100001.0
2014-04-28,2014-05-08,Hoeven,John,Purchase,ABBV,AbbVie Inc. (NYSE),"$50,001 - $100,000",https://efdsearch.senate.gov/search/view/ptr/da7d4e7e-8858-4dc1-ba7e-800c7ce82e7f/,50001.0
2014-04-28,2014-05-08,Hoeven,John,Purchase,BUD,Anheuser-Busch InBev SA/NV (NYSE),"$50,001 - $100,000",https://efdsearch.senate.gov/search/view/ptr/da7d4e7e-8858-4dc1-ba7e-800c7ce82e7f/,50001.0
2014-04-28,2014-05-08,Hoeven,John,Purchase,F,Ford Motor Co. (NYSE),"$50,001 - $100,000",https://efdsearch.senate.gov/search/view/ptr/da7d4e7e-8858-4dc1-ba7e-800c7ce82e7f/,50001.0
2013-04-29,2014-05-08,Hoeven,John,Purchase,CG,The Carlyle Group LP (NASDAQ),"$100,001 - $250,000",https://efdsearch.senate.gov/search/view/ptr/e16f013b-4e88-4777-8001-ac02faf65957/,100001.0
2014-04-03,2014-05-01,Carper,Thomas R,Sale (Full),BHI,Baker Hughes Incorporated (NYSE),"$15,001 - $50,000",https://efdsearch.senate.gov/search/view/ptr/6cfed5f8-e48c-4421-8ce1-18fd087da47e/,15001.0
2014-06-19,2014-06-27,Collins,Susan M,Sale (Full),LMGEX,Legg Mason Batterymarch Intl Eq C (NASDAQ),"$15,001 - $50,000",https://efdsearch.senate.gov/search/view/ptr/97d58777-edb5-4319-b360-74709332d937/,15001.0
2014-06-24,2014-06-26,Toomey,Patrick J,Purchase,AMLP,ALPS Alerian MLP ETF,"$15,001 - $50,000",https://efdsearch.senate.gov/search/view/ptr/bc5abd7e-9920-40bf-91ed-0c3cc78ca5f5/,15001.0
2014-06-12,2014-06-18,Toomey,Patrick J,Purchase,DBP,PowerShares DB Precious Metals,"$15,001 - $50,000",https://efdsearch.senate.gov/search/view/ptr/223c257d-c473-401f-bcf1-d76494f15a9d/,15001.0
2014-06-12,2014-06-18,Toomey,Patrick J,Purchase,VIXY,ProShares VIX Short-Term Futures ETF,"$15,001 - $50,000",https://efdsearch.senate.gov/search/view/ptr/223c257d-c473-401f-bcf1-d76494f15a9d/,15001.0
2014-06-11,2014-06-18,Toomey,Patrick J,Purchase,LGP,Lehigh Gas Partners LP (NYSE),"$15,001 - $50,000",https://efdsearch.senate.gov/search/view/ptr/223c257d-c473-401f-bcf1-d76494f15a9d/,15001.0
2014-06-05,2014-06-18,Toomey,Patrick J,Sale (Partial),PPL,PPL Corporation (NYSE),"$15,001 - $50,000",https://efdsearch.senate.gov/search/view/ptr/223c257d-c473-401f-bcf1-d76494f15a9d/,15001.0
2014-07-03,2014-07-23,Roberts,Pat,Sale (Full),IBM,International Business Machines Corporation (NYSE),"$15,001 - $50,000",https://efdsearch.senate.gov/search/view/ptr/a473837b-327f-44e4-8d92-406b81eeadec/,15001.0
